id,name,descr,lang_code,is_active,cr_by,cr_dtimes
10001,Pre-Registration,Web portal for pre-registrations,eng,TRUE,superadmin,now()
10001,ما قبل التسجيل,بوابة الويب للتسجيلات المسبقة,ara,TRUE,superadmin,now()
10003,Registration Client,Desktop application for Registrations,eng,TRUE,superadmin,now()
10003,عميل التسجيل,تطبيق سطح المكتب للتسجيلات,ara,TRUE,superadmin,now()
10005,Registration Processor,Application for post-registration process,eng,TRUE,superadmin,now()
10005,معالج التسجيل,طلب لعملية ما بعد التسجيل,ara,TRUE,superadmin,now()
10007,ID Authentication,Application for third party service provider authentication,eng,TRUE,superadmin,now()
10007,مصادقة الهوية,تطبيق لمصادقة موفر خدمة جهة خارجية,ara,TRUE,superadmin,now()
10009,ID Control,Web portal for configuring applications,eng,TRUE,superadmin,now()
10009,التحكم في الهوية,بوابة الويب لتكوين التطبيقات,ara,TRUE,superadmin,now()
10011,Resident Portal,Web portal for Post ID generation services,eng,TRUE,superadmin,now()
10011,بوابة المقيمين,البوابة الإلكترونية لخدمات إنشاء معرف المشاركة,ara,TRUE,superadmin,now()
10001,Pré-inscription,Portail Web pour les pré-inscriptions,fra,TRUE,superadmin,now()
10003,Client dinscription,Application de bureau pour les inscriptions,fra,TRUE,superadmin,now()
10005,Processeur dinscription,Demande de post-inscription,fra,TRUE,superadmin,now()
10007,Authentification ID,Application pour lauthentification du fournisseur de services tiers,fra,TRUE,superadmin,now()
10009,Contrôle didentité,Portail Web pour la configuration dapplications,fra,TRUE,superadmin,now()
10011,Portail Résident,Portail Web pour les services de génération de post-ID,fra,TRUE,superadmin,now()
10001,पूर्व-पंजीकरण,पूर्व-पंजीकरण के लिए वेब पोर्टल,hin,TRUE,superadmin,now()
10003,पंजीकरण क्लाइंट,पंजीकरण के लिए डेस्कटॉप अनुप्रयोग,hin,TRUE,superadmin,now()
10005,पंजीकरण प्रोसेसर,बाद पंजीकरण की प्रक्रिया के लिए आवेदन,hin,TRUE,superadmin,now()
10007,आईडी प्रमाणीकरण,तृतीय पक्ष सेवा प्रदाता प्रमाणन के लिए आवेदन,hin,TRUE,superadmin,now()
10009,आईडी नियंत्रण,को विन्यस्त अनुप्रयोगों के लिए वेब पोर्टल,hin,TRUE,superadmin,now()
10011,निवासी पोर्टल,पोस्ट आईडी पीढ़ी सेवाओं के लिए वेब पोर्टल,hin,TRUE,superadmin,now()
10001,முன் பதிவு,முன்-பதிவுகளை வலை போர்டல்,tam,TRUE,superadmin,now()
10003,பதிவு கிளையண்ட்,பதிவுகள் டெஸ்க்டாப் பயன்பாடு,tam,TRUE,superadmin,now()
10005,பதிவு செயலி,பிந்தைய பதிவு செயல்முறை விண்ணப்ப,tam,TRUE,superadmin,now()
10007,ஐடி அங்கீகாரம்,மூன்றாம் தரப்பு சேவை வழங்குநர் அங்கீகரிப்பிற்காகப் விண்ணப்ப,tam,TRUE,superadmin,now()
10009,ஐடி கட்டுப்பாடு,கட்டமைக்கும் பயன்பாடுகளுக்கு வலை போர்டல்,tam,TRUE,superadmin,now()
10011,குடியுரிமை போர்டல்,போஸ்ட் ஐடி உருவாக்கச் சேவைகளுக்கும் வலை போர்டல்,tam,TRUE,superadmin,now()
10001,ಪೂರ್ವ ನೋಂದಣಿ,ಪೂರ್ವ ದಾಖಲಾತಿಗಳ ವೆಬ್ ಪೋರ್ಟಲ್,kan,TRUE,superadmin,now()
10003,ನೋಂದಣಿ ಕ್ಲೈಂಟ್,ದಾಖಲಾತಿಗಳು ಡೆಸ್ಕ್ಟಾಪ್ ಅಪ್ಲಿಕೇಶನ್,kan,TRUE,superadmin,now()
10005,ನೋಂದಣಿ ಪ್ರೊಸೆಸರ್,ನಂತರದ ನೋಂದಣಿ ಪ್ರಕ್ರಿಯೆಯನ್ನು ಅರ್ಜಿ,kan,TRUE,superadmin,now()
10007,ಐಡಿ ದೃಢೀಕರಣ,ಮೂರನೇ ಪಕ್ಷದ ಸೇವೆ ಒದಗಿಸುವವರು ದೃಢೀಕರಣ ಅರ್ಜಿ,kan,TRUE,superadmin,now()
10009,ಐಡಿ ಕಂಟ್ರೋಲ್,ಸಂರಚಿಸುವ ಅನ್ವಯಗಳಿಗೆ ವೆಬ್ ಪೋರ್ಟಲ್,kan,TRUE,superadmin,now()
10011,ನಿವಾಸ ಪೋರ್ಟಲ್,ಪೋಸ್ಟ್ ಐಡಿ ಪೀಳಿಗೆಯ ಸೇವೆಗಳಿಗೆ ವೆಬ್ ಪೋರ್ಟಲ್,kan,TRUE,superadmin,now()
